Rabi,Frequenz,MHz,21,15158,,,,
A_len,Envelope,,I,
0.5,3.25,0.25,0.78,0.03
1,6,0.25,1.56,0.03
1.5,8.13,0.25,2.15,0.03
2,9.4,0.25,2.5,0.03
2.5,9.88,0.25,2.66,0.03
3,9.56,0.25,2.56,0.03
3.5,8.56,0.25,2.28,0.03
4,7,0.25,1.83,0.03
4.5,5,0.25,1.3,0.03
5,3.4,0.25,0.78,0.03
5.5,3.13,0.25,-0.73,0.03
6,4.56,0.25,-1.19,0.03
6.5,6.56,0.25,-1.72,0.03
7,8.16,0.25,-2.16,0.03
7.5,9.19,0.25,-2.46,0.03
8,9.59,0.25,-2.57,0.03
8.5,9.2,0.25,-2.48,0.03
9,8.19,0.25,-2.17,0.03
9.5,6.31,0.25,-1.66,0.03
10,3.75,0.25,-0.98,0.03
10.5,1.44,0.25,-0.28,0.03
11,2.75,0.25,0.72,0.03
11.5,5.31,0.25,1.4,0.03
12,7.31,0.25,1.92,0.03
